野菜名,種まき適温(最低),種まき適温(最高),定植までの日数,雨の好み,栽培開始月,栽培終了月,収穫基準,収穫までの日数
トマト,15,25,30,嫌い,3,6,開花,45
ナス,20,30,25,嫌い,4,7,開花,23
キュウリ,18,28,20,普通,4,6,開花,8
ピーマン,20,30,30,普通,3,6,開花,45
ほうれん草,5,20,15,好き,2,4,種まき,40
にんじん,10,25,25,普通,3,6,種まき,100
レタス,10,20,15,好き,3,5,種まき,75
キャベツ,10,20,25,普通,2,5,定植,80
ダイコン,10,25,20,普通,3,5,種まき,70
スイカ,20,30,25,嫌い,4,6,開花,40
メロン,20,30,30,嫌い,4,6,開花,45
オクラ,20,30,15,好き,5,7,開花,6
トウモロコシ,15,25,20,普通,3,5,開花,23
ズッキーニ,15,25,20,普通,4,6,開花,6
カボチャ,18,28,25,普通,4,6,開花,45
春菊,15,25,30,普通,9,3,種まき,55
小松菜,15,25,30,普通,3,11,種まき,35
サニーレタス,15,25,35,普通,3,6,種まき,50
ロメインレタス,15,25,35,普通,3,6,種まき,65
バジル,18,30,25,少なめ,5,9,種まき,50
にら,15,25,70,普通,3,9,定植,70
マリーゴールド,15,25,35,普通,4,9,,
スナップエンドウ,15,20,35,普通,10,5,開花,12
インゲン,15,25,25,普通,5,9,開花,12
枝豆,15,25,25,普通,5,8,開花,35
サツマイモ,18,30,35,少なめ,5,9,植え付け,125
ショウガ,20,30,35,多め,3,6,植え付け,165
里芋,20,30,35,多め,3,6,植え付け,165
ジャガイモ,15,25,25,普通,2,9,植え付け,105
ブロッコリー,15,25,35,普通,3,9,定植,75
カリフラワー,15,25,35,普通,3,9,定植,75
ロマネスコ,15,25,35,普通,3,9,定植,85
ソラマメ,15,20,35,普通,10,5,開花,35


